id,text,html,js_files,cve,exploit_exists,labels,severity,headers,source,timestamp
CVE-1999-1357,"Netscape Communicator 4.04 through 4.7 (and possibly other versions) in various UNIX operating systems converts the 0x8b character to a ""<"" sign, and the 0x9b character to a "">"" sign, which could allow remote attackers to attack other clients via cross-site scripting (CSS) in CGI programs that do not filter these characters.",,[],CVE-1999-1357,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:15.854676
CVE-1999-1167,Cross-site scripting vulnerability in Third Voice Web annotation utility allows remote users to read sensitive data and generate fake web pages for other Third Voice users by injecting malicious Javascript into an annotation.,,[],CVE-1999-1167,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:15.911498
CVE-2000-0746,"Vulnerabilities in IIS 4.0 and 5.0 do not properly protect against cross-site scripting (CSS) attacks.  They allow a malicious web site operator to embed scripts in a link to a trusted site, which are returned without quoting in an error message back to the client.  The client then executes those scripts in the same context as the trusted site, aka the ""IIS Cross-Site Scripting"" vulnerabilities.",,[],CVE-2000-0746,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.089542
CVE-2000-1053,Allaire JRun 2.3.3 server allows remote attackers to compile and execute JSP code by inserting it via a cross-site scripting (CSS) attack and directly calling the com.livesoftware.jrun.plugins.JSP JSP servlet.,,[],CVE-2000-1053,1,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.136644
CVE-2000-1233,SQL injection vulnerability in read.php3 and other scripts in Phorum 3.0.7 allows remote attackers to execute arbitrary SQL queries via the sSQL parameter.,,[],CVE-2000-1233,0,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.172861
CVE-2000-1236,SQL injection vulnerability in mod_sql in Oracle Internet Application Server (IAS) 3.0.7 and earlier allows remote attackers to execute arbitrary SQL commands via the query string of the URL.,,[],CVE-2000-1236,0,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.173683
CVE-2000-1104,"Variant of the ""IIS Cross-Site Scripting"" vulnerability as originally discussed in MS:MS00-060 (CVE-2000-0746) allows a malicious web site operator to embed scripts in a link to a trusted site, which are returned without quoting in an error message back to the client.  The client then executes those scripts in the same context as the trusted site.",,[],CVE-2000-1104,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.184871
CVE-2001-1416,"Multiple cross-site scripting (XSS) vulnerabilities in the log messages in certain Alpha versions of AOL Instant Messenger (AIM) 4.4 allow remote attackers to execute arbitrary web script or HTML via an image in the (1) DATA, (2) STYLE, or (3) BINARY tags.",,[],CVE-2001-1416,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.211486
CVE-2001-1348,TWIG 2.6.2 and earlier allows remote attackers to perform unauthorized database operations via a SQL injection attack on the id parameter.,,[],CVE-2001-1348,0,"{""sqli"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.306207
CVE-2001-1084,"Cross-site scripting vulnerability in Allaire JRun 3.0 and 2.3.3 allows a malicious webmaster to embed Javascript in a request for a .JSP, .shtml, .jsp10, .jrun, or .thtml file that does not exist, which causes the Javascript to be inserted into an error message.",,[],CVE-2001-1084,0,"{""xss"": 1}",UNKNOWN,{},nvd,2025-11-11 14:24:16.370603
